UTC:,ykdhf,,,,,,,,,,,,,,,,,
time_pc [s],Mass [g],time_mcu[ms],data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:
2.603611469,0,67500,8507,8617,8742,8676,8698,8808,9614,20172,6271,21492,11286,9959,8749,8441,8375,8874
2.619511127,0,67515,8566,8580,8661,8529,8566,8543,8822,9717,22173,6462,24747,12664,9013,8441,8375,8830
2.634958744,0,67530,8624,8624,8683,8492,8543,8470,8507,8859,9570,25114,6858,38238,13581,9020,8522,8932
2.650817156,0,67544,9094,8991,9174,9013,8947,8866,8837,9299,9694,10582,38480,8273,48429,15662,9753,9570
2.666240692,0,67559,8998,8888,8925,8712,8698,8675,8573,8851,8910,9006,10611,48612,9512,29733,12011,9504
2.681747913,0,67574,8925,8771,8720,8632,8492,8419,8331,8573,8587,8536,8918,11300,29967,7356,26258,11652
2.681747913,0,67589,9658,8991,8852,8661,8522,8441,8360,8544,8507,8522,8654,9533,9453,26778,7019,27731
2.697634459,0,67603,30217,11865,9277,8852,8690,8500,8448,8646,8536,8573,8690,9189,8690,9050,27504,7092
2.697634459,0,A,,,,,,,,,,,,,,,,
2.713280678,0,67618,4600,22870,11982,9335,8852,8536,8375,8646,8588,8565,8661,9079,8573,8646,9123,28274
2.728927612,0,67633,25312,6616,24622,12107,9299,8690,8441,8683,8551,8492,8595,9130,8390,8434,8617,9775
2.744555235,0,67648,10149,24989,6858,24080,12210,9277,8808,9013,8808,8602,8756,9248,8500,8500,8565,9460
2.76017952,0,67663,9211,10223,24395,6740,22569,11139,9020,8954,8785,8676,8720,9240,8514,8463,8448,9152
2.77579093,0,67677,8698,9079,10303,23237,6608,20553,10633,9138,8837,8668,8712,8998,8419,8360,8287,8940
2.799988747,0,67692,8580,8712,8947,9438,21030,6366,18933,10824,9101,8683,8668,9006,8346,8353,8309,8830
